Time,Temperature,On Time
31793,56,31,184.68
31819,56,29,184.68
31847,56,31,185.47
31874,56,31,185.47
31901,56,31,185.47
31928,56,31,185.47
31955,56,31,186.28
31982,56,31,186.28
32009,56,31,186.28
32036,57,31,186.28
32063,57,31,187.08
32090,57,31,187.08
32117,57,31,187.08
32144,57,32,187.08
32172,57,31,187.88
32198,57,32,187.88
32225,57,29,187.88
32252,57,31,187.88
32279,57,32,183.67
32307,57,31,183.67
32333,57,31,183.67
32361,57,32,183.67
32388,57,31,189.48
32414,57,32,189.48
32442,57,31,189.48
32468,57,31,189.48
32496,57,32,185.27
32523,57,31,185.27
32549,57,32,185.27
32577,57,31,185.27
32604,57,32,186.07
32631,57,32,186.07
32658,57,31,186.07
32685,57,33,186.07
32712,57,33,181.86
32739,57,32,181.86
32766,57,33,181.86
32793,57,33,181.86
32821,57,30,197.67
32847,57,32,197.67
32874,57,34,197.67
32902,57,32,197.67
32928,57,32,188.48
32955,57,33,188.48
32983,57,32,188.48
33009,57,32,188.48
33037,58,33,184.26
33063,58,33,184.26
33090,58,32,184.26
33118,58,32,184.26
33144,58,34,180.05
33172,58,33,180.05
33199,58,33,180.05
33226,58,31,180.05
33253,58,33,185.84
33280,58,33,185.84
33307,58,34,185.84
33334,58,33,185.84
33361,58,33,186.64
33388,58,34,186.64
33415,58,31,186.64
33442,58,33,186.64
33469,58,33,187.43
33497,58,34,187.43
33523,58,34,187.43
33550,58,33,187.43
33577,58,34,183.22
33604,58,33,183.22
33632,58,33,183.22
33658,58,34,183.22
33685,58,34,184.0
33713,58,33,184.0
33739,58,34,184.0
33767,58,34,184.0
33794,58,34,184.79
33820,58,31,184.79
33848,58,34,184.79
33874,58,34,184.79
33902,58,34,185.58
33929,58,34,185.58
33955,58,34,185.58
33983,58,34,185.58
34010,58,34,186.37
34037,59,35,186.37
34064,59,34,186.37
34092,59,34,186.37
34118,59,34,187.17
34145,59,34,187.17
34172,59,34,187.17
34199,59,34,187.17
34227,59,32,197.98
34253,59,34,197.98
34280,59,34,197.98
34308,59,35,197.98
34334,59,34,188.77
34362,59,34,188.77
34388,59,34,188.77
34415,59,35,188.77
34443,59,34,189.56
34469,59,34,189.56
34497,59,35,189.56
34524,59,34,189.56
34550,59,34,190.36
34578,59,35,190.36
34605,59,35,190.36
34632,59,34,190.36
34659,59,35,186.15
34685,59,36,186.15
34713,59,35,186.15
34740,59,34,186.15
34767,59,37,176.92
34794,59,35,176.92
34821,59,34,176.92
34848,59,37,176.92
34875,59,35,187.71
34903,59,35,187.71
34929,59,35,187.71
34957,59,36,187.71
34983,59,35,188.5
35010,59,35,188.5
35038,60,37,188.5
35064,60,35,188.5
35092,60,35,189.29
35119,60,37,189.29
35145,60,35,189.29
35173,60,36,189.29
35200,60,37,180.06
35227,60,34,180.06
35254,60,36,180.06
35280,60,36,180.06
35308,60,37,180.83
35335,60,36,180.83
35362,60,36,180.83
35389,60,36,180.83
35416,60,34,196.64
35443,60,36,196.64
35470,60,36,196.64
35497,60,37,196.64
35524,60,37,182.41
35551,60,37,182.41
35578,60,37,182.41
35605,60,36,182.41
35633,60,37,183.19
35659,60,36,183.19
35686,60,37,183.19
35714,60,37,183.19
35740,60,37,183.97
35768,60,37,183.97
35794,60,37,183.97
35822,60,34,183.97
35849,60,37,184.75
35875,60,37,184.75
35903,60,37,184.75
35930,60,37,184.75
35957,60,37,185.53
